Barcode,Shift,Updated At,Overall Result,OP100 - DEBURRING,Machine Result
"26040902300101RL","A","2026-04-11T12:20:43.057Z","IN PROGRESS","-","IN PROGRESS"
"26040902550101RL","A","2026-04-11T12:18:12.460Z","IN PROGRESS","-","IN PROGRESS"
"26041002640101RL","A","2026-04-11T11:59:08.180Z","IN PROGRESS","-","IN PROGRESS"
"26041002600101RL","A","2026-04-11T11:49:51.987Z","IN PROGRESS","-","IN PROGRESS"
"26041002780101RL","A","2026-04-11T11:39:32.107Z","IN PROGRESS","-","IN PROGRESS"
"26040902850101RL","A","2026-04-11T11:37:56.637Z","IN PROGRESS","OK","OK"
"26041002750101RL","A","2026-04-11T11:27:25.057Z","IN PROGRESS","-","IN PROGRESS"
"26040902180101RL","A","2026-04-11T11:14:01.657Z","IN PROGRESS","-","IN PROGRESS"
"26040902290101RL","A","2026-04-11T11:10:32.480Z","IN PROGRESS","-","IN PROGRESS"
"26041002590101RL","A","2026-04-11T11:07:32.557Z","NG","OK","OK"
"26040902230101RL","A","2026-04-11T10:55:30.830Z","IN PROGRESS","-","IN PROGRESS"
"26040902330101RL","A","2026-04-11T10:53:42.680Z","IN PROGRESS","-","IN PROGRESS"
"26041002530101RL","A","2026-04-11T10:28:27.530Z","IN PROGRESS","-","IN PROGRESS"
"26041002690101RL","A","2026-04-11T10:24:14.480Z","IN PROGRESS","-","IN PROGRESS"
"26040902210101RL","A","2026-04-11T10:22:24.390Z","IN PROGRESS","-","IN PROGRESS"
"26040902340101RL","A","2026-04-11T10:13:17.713Z","IN PROGRESS","OK","OK"
"26040502000101RL","C","2026-04-11T01:15:27.840Z","IN PROGRESS","-","IN PROGRESS"
"26040501970101RL","C","2026-04-11T00:57:28.433Z","IN PROGRESS","-","IN PROGRESS"
"26040501960101RL","C","2026-04-11T00:46:59.633Z","NG","-","IN PROGRESS"
"26040602150101RL","C","2026-04-11T00:03:14.030Z","IN PROGRESS","OK","OK"
"26040501990101RL","C","2026-04-10T23:54:50.110Z","NG","NOK","NG"
"26040602100101RL","C","2026-04-10T23:45:54.387Z","IN PROGRESS","OK","OK"
"26040501980101RL","C","2026-04-10T23:26:54.237Z","IN PROGRESS","OK","OK"
"26040502050101RL","C","2026-04-10T23:07:01.950Z","IN PROGRESS","-","IN PROGRESS"
"26040601790101RL","C","2026-04-10T22:57:16.210Z","IN PROGRESS","-","IN PROGRESS"
"26040602120101RL","C","2026-04-10T22:52:30.980Z","IN PROGRESS","-","IN PROGRESS"
"26040602070101RL","B","2026-04-10T21:45:26.933Z","IN PROGRESS","OK","OK"
"26040602090101RL","B","2026-04-10T19:39:35.710Z","IN PROGRESS","-","IN PROGRESS"
"26040602140101RL","B","2026-04-10T19:22:55.130Z","IN PROGRESS","OK","OK"
